timestamp,accel_x,accel_y,accel_z,accel_mag,gyro_x,gyro_y,gyro_z,gyro_mag,speed_mps,speed_kmph,latitude,longitude,accel_spike,gyro_peak,is_detecting,label,source_file,jerk,accel_roll_mean,accel_roll_std,accel_roll_max,gyro_roll_max
2026-02-28 09:04:33.143877,1.029,3.62595,9.094951,9.845023,0.021862,0.0341,-0.004812,0.040791,0.086757,0.312325,23.0831933,72.6499149,0.02754,0.040791,True,0,pothole_sensors_20260228_090421.txt,0.0,9.845023,0.0,9.845023,0.040791
2026-02-28 09:04:34.135198,1.10805,3.61005,9.207001,9.951337,0.011275,0.027638,-0.005912,0.030429,0.086757,0.312325,23.0831933,72.6499149,0.0,0.030429,True,0,pothole_sensors_20260228_090421.txt,0.10631400000000113,9.89818,0.0751753503350674,9.951337,0.040791
2026-02-28 09:04:35.139925,1.04595,3.693,9.13095,9.904873,0.0847,0.0,0.010038,0.085293,0.086757,0.312325,23.0831933,72.6499149,0.073367,0.085293,True,0,pothole_sensors_20260228_090421.txt,-0.04646400000000028,9.900411,0.05329726758474642,9.951337,0.085293
2026-02-28 09:04:36.153668,1.146,3.636,9.375,10.120496,0.096387,0.18205,0.06435,0.215809,0.086757,0.312325,23.0831933,72.6499149,0.0,0.215809,True,0,pothole_sensors_20260228_090421.txt,0.215622999999999,9.95543225,0.11833462846626927,10.120496,0.215809
2026-02-28 09:04:37.132281,2.60205,4.25205,8.314051,9.694021,0.238975,0.027638,0.045238,0.244784,0.086757,0.312325,23.0831933,72.6499149,0.084976,0.244784,True,0,pothole_sensors_20260228_090421.txt,-0.42647499999999994,9.90315,0.15546537089011186,10.120496,0.244784
2026-02-28 09:04:38.132405,1.11705,4.99905,8.938951,10.302579,-0.170775,-0.169262,-0.124025,0.270548,0.086757,0.312325,23.0831933,72.6499149,0.053196,0.270548,True,0,pothole_sensors_20260228_090421.txt,0.6085580000000004,9.9946612,0.2296580095864284,10.302579,0.270548
2026-02-28 09:04:39.133521,1.13205,3.89205,8.38605,9.31426,-0.360112,0.168025,0.102575,0.410408,0.086757,0.312325,23.0831933,72.6499149,0.0,0.410408,True,0,pothole_sensors_20260228_090421.txt,-0.9883189999999988,9.867245800000001,0.38433923535686493,10.302579,0.410408
2026-02-28 09:04:40.144273,-1.26195,-1.37595,7.789051,8.009686,-1.818437,3.1757,-2.7588,4.582877,0.086757,0.312325,23.0831933,72.6499149,0.851465,4.582877,True,0,pothole_sensors_20260228_090421.txt,-1.3045740000000006,9.4882084,0.9112673102253249,10.302579,4.582877
2026-02-28 09:04:41.132591,-6.807,-7.323,4.94895,11.155882,-0.605275,-1.06645,-1.334025,1.811987,0.086757,0.312325,23.0831933,72.6499149,0.082325,1.811987,True,0,pothole_sensors_20260228_090421.txt,3.1461959999999998,9.6952856,1.171385422903708,11.155882,4.582877
2026-02-28 09:04:42.139406,-0.98205,-5.11005,8.521951,9.985023,-0.040838,0.0803,-0.060225,0.108364,0.086757,0.312325,23.0831933,72.6499149,0.0,0.108364,True,0,pothole_sensors_20260228_090421.txt,-1.170859,9.753486,1.1785144213065442,11.155882,4.582877
2026-02-28 09:04:43.137762,-3.981,-1.79295,10.92,11.760503,0.06765,-0.234712,0.110963,0.268289,0.086757,0.312325,23.0831933,72.6499149,0.0,0.268289,True,0,pothole_sensors_20260228_090421.txt,1.77548,10.045070800000001,1.4880432287567111,11.760503,4.582877
2026-02-28 09:04:44.132081,-2.93895,-1.31595,7.11405,7.808897,-0.245163,0.012238,-0.010175,0.245679,0.086757,0.312325,23.0831933,72.6499149,0.113759,0.245679,True,0,pothole_sensors_20260228_090421.txt,-3.951606,9.743998200000002,1.7937569434465472,11.760503,4.582877
