Response_ID,Age,Gender,Area_Type,Travel_Time,Lighting_Importance,Police_Importance,Hospital_Importance,Crowd_Importance,Crime_Importance,Accident_Importance,Road_Importance
1,53,1,0,Afternoon,0.0,0.6666666666666666,0.9999999999999999,0.25,1.0,0.0,0.9999999999999999
2,18,1,2,Evening,0.33333333333333337,0.0,0.0,1.0,0.5,0.0,0.9999999999999999
3,51,1,0,Night,0.33333333333333337,0.0,0.6666666666666666,0.25,1.0,0.6666666666666666,0.9999999999999999
4,25,1,2,Afternoon,0.9999999999999999,0.33333333333333337,0.6666666666666666,0.5,1.0,0.0,0.0
5,44,0,2,Evening,0.6666666666666666,0.0,0.6666666666666666,0.5,1.0,0.0,0.9999999999999999
6,31,1,2,Afternoon,0.33333333333333337,0.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0
7,42,1,2,Evening,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.75,1.0,0.6666666666666666,0.9999999999999999
8,57,1,2,Morning,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.5,0.0,0.0,0.33333333333333337
9,20,1,1,Morning,0.9999999999999999,0.0,0.33333333333333337,0.0,1.0,0.9999999999999999,0.9999999999999999
10,38,1,0,Afternoon,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.25,0.0,0.33333333333333337,0.0
11,44,0,0,Night,0.6666666666666666,0.0,0.9999999999999999,0.25,0.5,0.9999999999999999,0.9999999999999999
12,50,1,2,Evening,0.6666666666666666,0.6666666666666666,0.9999999999999999,0.5,1.0,0.0,0.9999999999999999
13,42,1,1,Afternoon,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.25,0.0,0.9999999999999999,0.9999999999999999
14,57,0,2,Evening,0.9999999999999999,0.9999999999999999,0.6666666666666666,1.0,1.0,0.33333333333333337,0.9999999999999999
15,54,1,1,Evening,0.9999999999999999,0.0,0.6666666666666666,0.0,0.0,0.33333333333333337,0.9999999999999999
16,35,1,0,Evening,0.33333333333333337,0.33333333333333337,0.9999999999999999,0.5,0.0,0.9999999999999999,0.9999999999999999
17,21,0,0,Night,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.25,1.0,0.0,0.6666666666666666
18,54,1,2,Night,0.33333333333333337,0.0,0.6666666666666666,1.0,1.0,0.33333333333333337,0.9999999999999999
19,47,1,2,Afternoon,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.5,0.5,0.0,0.9999999999999999
20,23,1,1,Evening,0.0,0.33333333333333337,0.33333333333333337,0.5,1.0,0.33333333333333337,0.9999999999999999
21,52,1,0,Evening,0.33333333333333337,0.33333333333333337,0.9999999999999999,0.5,0.5,0.9999999999999999,0.9999999999999999
22,54,0,2,Evening,0.33333333333333337,0.33333333333333337,0.9999999999999999,1.0,0.0,0.6666666666666666,0.33333333333333337
23,18,1,2,Afternoon,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.0,0.5,0.33333333333333337,0.9999999999999999
24,29,1,2,Morning,0.9999999999999999,0.6666666666666666,0.9999999999999999,0.75,1.0,0.9999999999999999,0.33333333333333337
25,46,1,1,Morning,0.9999999999999999,0.33333333333333337,0.6666666666666666,0.5,0.0,0.6666666666666666,0.6666666666666666
26,22,0,1,Evening,0.6666666666666666,0.33333333333333337,0.9999999999999999,0.75,0.5,0.6666666666666666,0.9999999999999999
27,27,1,2,Evening,0.9999999999999999,0.0,0.33333333333333337,0.5,1.0,0.6666666666666666,0.9999999999999999
28,50,1,0,Evening,0.33333333333333337,0.33333333333333337,0.9999999999999999,0.25,0.0,0.0,0.6666666666666666
